Occupation Title,Occupation Code,Employment 2018,Employment 2028,"Employment Change, 2018-2028","Employment Percent Change, 2018-2028","Occupational Openings, 2018-2028 Annual Average",Median Annual Wage 2019,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Accountants and auditors    * Account Auditor* Accountant* Auditor* Auditor-In-Charge* CPA* Certified Public Accountant* Cost Accountant* Field Auditor* Financial Accountant* Financial Auditor* Fund Accountant* Internal Auditor* Payroll Auditor* Tax Accountant,13-2011,"1,424.00","1,514.70",90.7,6.4,146,"71,550",Bachelor's degree,3,None,4,None,6
Actors    * Actor Understudy* Actress* Dramatic Reader* Elocutionist* Monologist* Vaudeville Actor* Voice-Over Artist,27-2011,64.5,65.1,0.6,0.9,7.7,N/A,"Some college, no degree",6,None,4,Long-term on-the-job training,3
Actuaries    * Actuarial Associate* Actuarial Mathematician* Health Actuary* Insurance Actuary* Pricing Actuary* Product Development Actuary,15-2011,25,30,5,20.1,2.2,"108,350",Bachelor's degree,3,None,4,Long-term on-the-job training,3
Adhesive bonding machine operators and tenders    * Glue Line Operator* Glue Machine Operator* Glue Reel Operator* Paper Gluing Operator,51-9191,16.5,16.1,-0.4,-2.6,2.1,"34,340",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Administrative law judges, adjudicators, and hearing officers    * Appeals Examiner* Appeals Referee* Appellate Conferee* Hearing Examiner* Hearing Officer* Justice of The Peace* Traffic Court Referee",23-1021,15.2,15.5,0.3,1.7,0.8,"97,870",Doctoral or professional degree,1,5 years or more,1,Short-term on-the-job training,5
Administrative services managers    * Administrative Services Manager* Business Office Manager* Business Unit Manager* Facilities Manager* Records Management Director* Records and Information Manager,11-3011,300.2,322,21.8,7.3,28.1,"96,940",Bachelor's degree,3,Less than 5 years,2,None,6
Adult basic and secondary education and literacy teachers and instructors    * Adult Basic Studies Teacher* Adult Education Teacher* Adult Literacy Instructor* Adult Literacy Teacher* Adult Remedial Education Instructor* GED Instructor* General Educational Development (GED) Teacher* General Educational Development Teacher,25-3011,67.2,60.2,-7,-10.3,6.6,"54,350",Bachelor's degree,3,None,4,None,6
Advertising and promotions managers    * Advertising Director* Advertising Executive* Advertising Manager* Classified Advertising Manager* Promotion Manager* Promotions Director* VP Advertising* VP Promotions,11-2011,27.6,28.4,0.9,3.2,2.7,"125,510",Bachelor's degree,3,Less than 5 years,2,None,6
Advertising sales agents    * Advertising Account Executive* Advertising Agent* Advertising Solicitor* Display Advertising Sales Representative* Inside Sales Advertising Executive* Outside Sales Advertising Executive* Radio Time Salesperson* Signs and Displays Salesperson* Yellow Pages Space Salesperson,41-3011,147.9,144.6,-3.3,-2.2,19.5,"53,310",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Aerospace engineering and operations technicians    * Altitude Chamber Technician* Flight Data Technician* Wind Tunnel Technician,17-3021,10.5,11,0.5,4.5,1.1,"66,020",Associate's degree,4,None,4,None,6
Aerospace engineers    * Aerodynamics Engineer* Aeronautical Engineer* Aerospace Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer,17-2011,67.2,68.3,1.1,1.7,4.5,"116,500",Bachelor's degree,3,None,4,None,6
"Agents and business managers of artists, performers, and athletes    * Artist Manager* Artist Representative* Author's Agent* Band Manager* Booking Agent* Booking Manager* Fight Manager* Literary Agent* Modeling Agent* Talent Agent* Talent Manager* Theatrical Agent",13-1011,19.4,21.5,2,10.4,2.6,"73,740",Bachelor's degree,3,Less than 5 years,2,None,6
Agricultural and food science technicians    * Agriculture Technician* Agronomy Technician* Artificial Breeding Technician* Cotton Program Technician* Dairy Lab Technician* Dairy Technician* Dairy Technologist* Feed Mill Lab Technician* Feed Research Technician* Food Quality Technician* Food Science Technician* Seed Analyst* Sugarcane Research Technician* Weed Science Research Technician,19-4011,29.2,31,1.8,6.1,3.8,"41,230",Associate's degree,4,None,4,Moderate-term on-the-job training,4
Agricultural engineers    * Agricultural Engineer* Agricultural Production Engineer* Agricultural Research Engineer* Farm Equipment Engineer* Research Agricultural Engineer,17-2021,2.6,2.8,0.1,5.4,0.2,"80,720",Bachelor's degree,3,None,4,None,6
Agricultural equipment operators    * Cane Flume Chute Operator* Combine Driver* Combine Operator* Corn Detasseler Machine Operator* Cotton Ginner* Cotton Picker Operator* Custom Harvester* Farm Tractor Operator* Hay Baler* Hay Stacker Operator* Rake Operator* Replanting Machine Operator* Tractor Operator* Wheat Combine Driver,45-2091,66.6,73.1,6.5,9.8,12.1,"31,950",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Agricultural inspectors    * Cattle Examiner* Cattle Inspector* Grain Sampler* Meat and Poultry Inspector* Milk Tester* Wheat Inspector,45-2011,17.7,18.4,0.7,4.2,2.7,"45,490",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Agricultural sciences teachers, postsecondary    * Agricultural Soil Conservation Professor* Agronomy Professor* Animal Husbandry Professor* Animal Science Professor* Aquaculture and Fisheries Professor* Farm Management Professor* Floriculture Professor* Horticulture Instructor* Olericulture Professor",25-1041,13.3,13.9,0.6,4.3,1.2,"83,260",Doctoral or professional degree,1,None,4,None,6
"Agricultural workers, all other    * Crop Scout* Irrigation Worker* Livestock Showman",45-2099,12.4,13,0.6,4.7,2.1,"29,590",No formal educational credential,8,None,4,Short-term on-the-job training,5
Air traffic controllers    * Air Traffic Control Operator* Air Traffic Control Specialist* Air Traffic Controller* Air Traffic Coordinator* Airport Tower Controller* Control Tower Operator* Enroute Controller,53-2021,24.3,24.6,0.3,1.3,2.3,"122,990",Associate's degree,4,None,4,Long-term on-the-job training,3
Aircraft cargo handling supervisors    * Air Cargo Ground Crew Supervisor* Air Cargo Ground Operations Supervisor* Air Cargo Supervisor* Aircraft Loadmaster* Airport Ramp Supervisor,53-1011,9.1,9.5,0.4,4.7,1,"53,850",High school diploma or equivalent,7,Less than 5 years,2,None,6
Aircraft mechanics and service technicians    * A&P Mechanic* Aircraft Engine Mechanic* Aircraft Engine Specialist* Airframe Mechanic* Airframe and Power Plant Mechanic* Airplane Rigger* FAA Certified Powerplant Mechanic* Flight Test Mechanic* Helicopter Mechanic* Jet Engine Mechanic* Propeller-Driven Airplane Mechanic,49-3011,136.9,141.2,4.3,3.1,11.8,"64,090",Postsecondary nondegree award,5,None,4,None,6
"Aircraft structure, surfaces, rigging, and systems assemblers    * Aircraft De-Icer Installer* Aircraft Fuselage Framer* Aircraft Layout Worker* Aircraft Line Assembler* Aircraft Part Assembler* Aircraft Riveter* Aircraft Sheet Metal Mechanic* Helicopter Airframe Mechanic* Propeller Layout Worker* Wing Coverer",51-2011,45.1,35.2,-9.9,-22,2.5,"54,210",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Airfield operations specialists    * Aviation Operations Specialist* Flight Operations Coordinator,53-2022,10.2,10.9,0.7,7.4,1.1,"52,650",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Airline pilots, copilots, and flight engineers    * Airline Captain* Airline Pilot* Airline Pilot Flight Instructor* Airline Pilot In Command* Airline Pilot Second In Command* Airline Transport Pilot* Charter Pilot (Air Transport Pilot Certificate Required)* Charter Pilot (Airline)* Regional Airline Pilot",53-2011,83.6,87.4,3.9,4.6,9.1,"147,220",Bachelor's degree,3,Less than 5 years,2,Moderate-term on-the-job training,4
"Ambulance drivers and attendants, except emergency medical technicians    * Ambulance Attendant* Emergency Medical Services (EMS) Driver* Emergency Medical Services Driver",53-3011,15.6,17.3,1.7,11,2.7,"25,890",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Amusement and recreation attendants    * Amusement Park Worker* Animal Ride Attendant* Arcade Attendant* Carnival Worker* Ferris Wheel Operator* Golf Caddy* Ice Rink Attendant* Ride Operator* Rides Attendant* Ski Lift Attendant* Ski Lift Operator* Sports Complex Attendant,39-3091,338.6,364.4,25.8,7.6,83.5,"23,370",No formal educational credential,8,None,4,Short-term on-the-job training,5
Anesthesiologists    * Anaesthesiologist* Anesthesiologist* Anesthetist* Attending Anesthesiologist* Obstetrical Anesthesiologist* Staff Anesthetist,29-1061,34.5,36,1.5,4.5,1.2,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
Animal breeders    * Animal Breeder* Cat Breeder* Dairy Husbandry Worker* Dog Breeder* Equine Breeder* Horse Breeder* Livestock Breeder* Poultry Inseminator* Stallion Manager,45-2021,8.9,9.2,0.3,2.9,1.5,"42,920",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
